student_id,lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size
ST5472,-0.005637,0.03748,0.059578,0.224236,-0.004204,-0.000755,0.367696,0.064745,-0.008778,0.075879,0.002114,0.029917,0.023442,-0.019892,0.000281,0.000675,-0.02766,0.003885,0.017133,-0.023378,-0.014782,0.013557,0.021773,0.020763,0.000252,-0.005773,0.003304,-0.021297,0.0367,0.035412,-0.005515,0.005973,0.001722,0.024718,0.006677
ST1629,-0.00589,0.021757,0.064874,0.013788,0.015235,0.001909,0.278866,0.026559,-0.010491,0.07708,0.015846,0.020461,0.009606,0.007788,0.026132,-0.002807,-0.0044,0.001637,-0.001163,0.00581,-0.003931,0.007399,0.013183,0.013774,0.004336,-0.014357,-0.011211,-0.010329,0.019365,0.027644,0.015786,-0.002862,-0.000915,0.017081,0.003433
ST5406,0.002043,0.017877,0.12055,0.004544,0.00702,0.006168,0.23466,-0.002293,-0.002405,0.018832,0.023146,0.01528,0.005928,0.014982,0.035834,-0.005633,-0.004341,0.004638,-0.001697,-0.00231,-2.3e-05,-0.005171,0.025286,0.004498,-0.011657,-0.014842,-0.000723,-0.011973,0.042742,-0.019548,0.010986,-0.0128,0.002761,0.010497,-0.009942
ST5657,0.007141,0.018401,0.074397,0.007018,0.01546,0.006285,0.223821,0.009475,-0.00432,-0.001575,0.008854,0.029574,-0.01007,0.015285,0.027481,-0.00147,-0.005589,0.00087,-0.005873,0.003664,-0.001548,-0.001888,0.014486,0.011893,-0.004933,-0.019933,-0.004166,-0.007073,0.045297,-0.013559,0.011463,-0.003601,-0.002836,0.013893,-0.01028
ST2891,-0.004413,0.020041,-0.000171,0.046681,0.014568,-0.000815,0.312043,0.011199,-0.014505,0.036675,0.020029,0.018503,-0.012444,0.00254,0.031727,0.001549,-0.000649,-0.005004,0.006135,0.008279,-0.002398,0.002521,0.017257,0.003048,0.00674,-0.002004,-0.008849,-0.008731,0.032634,-0.00837,0.011024,-0.008341,0.000138,0.018586,0.000483
ST1514,0.000472,0.055697,0.025972,0.298912,0.000705,-0.0075,0.294862,0.043297,0.00665,0.004507,0.043352,0.025624,0.020018,-0.013672,0.034698,0.011508,-0.031984,-0.020429,0.013755,-0.042079,-0.021704,-0.002662,0.019729,-0.007009,0.036537,-0.017687,-0.020701,-0.009155,0.038225,-0.001721,0.003135,0.007767,-0.008998,0.037558,0.006997
ST2329,-0.00842,0.018311,0.005619,0.022052,0.013366,-0.001373,0.397911,0.039186,-0.012507,0.062202,0.006086,0.023402,0.006104,-0.024948,0.022934,0.003322,-0.013828,-0.003725,6.1e-05,0.008409,-0.009762,0.010906,0.029976,0.010817,0.006947,-0.011128,-0.014784,-0.001643,0.025933,0.004465,0.005561,-0.017675,-0.00166,0.018662,0.006193
ST5789,0.001599,0.006873,0.178455,0.008602,-3.9e-05,0.000963,0.301775,0.021758,0.001383,0.014118,0.007802,0.019717,0.016527,-0.000947,0.039922,-0.016032,-0.008099,0.00675,0.011873,0.006713,-0.007598,0.008092,0.021267,0.001286,0.007972,-0.019526,-0.018121,-0.022357,0.01299,0.034905,0.013084,-0.027771,0.00471,-0.009934,0.003766
ST3997,0.017012,0.011754,0.249287,0.009365,0.003406,0.00114,0.338411,0.032097,-0.007609,0.063469,0.013614,0.008852,0.035084,-0.010257,0.043375,-0.012864,-0.002559,0.012473,0.009515,0.027985,0.017188,-0.004662,0.013084,0.027691,-0.017519,-0.006922,0.004617,-0.028681,0.024478,0.030077,0.025357,-0.000944,0.018428,0.002055,-0.002751
ST4000,0.004514,0.060027,-0.004752,0.257871,-0.011229,-0.011226,0.251848,0.04207,0.0017,0.027409,0.034852,0.031358,0.014745,0.005831,0.01983,0.007519,-0.027411,-0.007088,0.019391,-0.046714,-0.008846,-0.005411,0.012738,0.005361,0.014755,0.005725,0.001595,-0.023524,0.045382,-0.015143,-0.021966,0.017209,0.008828,0.029097,0.002595
ST3596,-0.002161,0.01718,-0.000178,0.007922,0.008973,5e-05,0.243087,0.051687,-0.005596,0.035368,0.043993,0.014932,0.007242,0.012913,0.022015,0.007371,-0.004157,-0.00475,-0.009761,0.001172,-0.003898,-0.000605,0.014598,0.00246,0.003434,-0.009957,-0.008785,-0.000232,0.034461,-0.026106,0.003618,-0.002103,0.000595,0.015914,-0.002436
ST1767,-0.005816,0.021691,-0.009417,0.02559,-0.000919,-0.000896,0.218098,0.042643,-0.008695,0.050427,0.041968,0.014868,0.008076,0.011328,0.025765,0.005569,0.000631,-0.006345,0.002335,-0.000841,-0.004547,0.0037,0.021883,0.010795,0.003384,-0.010922,-0.005513,-0.014982,0.040593,-0.018279,0.006227,-0.003048,0.001864,0.013635,-0.005749
