student_id,lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size
ST4929,0.041774,0.043408,0.022987,0.008681,0.00306,0.080738,0.155879,0.005618,0.002019,0.016434,-0.003532,0.002336,0.001407,-0.000941,-0.001345,0.000784,-0.000177,0.000542,-4.3e-05,0.001246,0.000125,2.5e-05,0.000142,-0.001171,-0.001033,7.6e-05,-0.001074,-0.000306,0.002708,0.008722,0.0,-0.000388,-0.000636,0.00053,-0.003011
ST4931,0.041774,0.043408,-0.073364,0.021285,-0.000646,0.067755,0.065386,0.029969,0.002046,0.039499,0.005491,0.001323,0.003663,0.001032,0.000168,0.000555,3.8e-05,-0.000228,0.0,0.001545,0.000888,-8.4e-05,0.0,0.000728,0.001843,-0.000669,0.000214,-0.000868,0.00379,0.011228,-0.000335,-7.3e-05,0.0,0.003025,0.006997
ST4938,0.039764,0.043408,0.023026,-0.091048,-0.000518,0.076468,0.173807,0.009403,0.004496,0.013912,0.002933,0.000441,0.001504,-0.000113,-0.000543,-0.000111,-0.000837,-0.000212,0.0,-0.025288,0.000629,-0.000165,-0.000408,0.0,8.4e-05,-0.000176,-0.000236,-0.000171,0.001826,0.007685,0.0,-0.000138,0.0,0.001007,-0.003334
ST4947,0.041774,0.043408,0.020649,0.005094,0.001375,0.076976,0.22985,0.013237,0.001501,0.017457,9e-05,-0.000849,0.001011,0.013854,0.000508,-0.001303,0.000195,0.000574,-0.000615,0.001365,0.001962,-0.000171,0.000125,0.000759,3e-06,0.001517,0.000628,0.001337,0.002538,0.008601,0.0,-7.3e-05,5.1e-05,0.000549,-0.00276
ST4968,0.039764,0.043408,0.028597,-0.096209,-0.000399,0.07237,0.171288,0.014136,0.001944,0.024049,-0.001135,0.000956,0.000286,-0.000386,1.2e-05,0.00026,0.000642,8.5e-05,0.000125,-0.020973,0.000279,-0.000186,0.000234,0.0,8.4e-05,-0.000341,-0.000297,-0.000271,0.002015,0.007054,0.0,-0.000138,0.0,0.001439,0.002746
ST4973,0.041774,0.043408,0.022089,0.007923,0.002223,0.07575,0.214984,0.020745,0.002644,0.027644,0.00344,0.001451,0.001329,-0.002827,7.1e-05,-0.000527,0.000345,0.000204,0.0,0.001171,0.000904,-1.1e-05,0.000618,0.000627,0.000176,0.00022,0.000155,-0.001234,0.003037,0.008409,0.0,-7.3e-05,-7.9e-05,0.001022,0.003566
ST4977,0.041939,0.0475,0.034168,-0.073086,0.000688,0.084108,0.014472,0.015318,0.001142,0.023024,0.000995,-0.00121,0.006222,0.00177,0.000123,-0.00071,-0.000569,-0.000169,0.0,-0.016063,-2.9e-05,0.0,-0.000304,0.0,0.00033,-0.000128,9e-05,1.3e-05,0.001295,0.006224,-0.0005,-7.3e-05,-0.000192,0.001482,-0.000235
ST4980,0.043092,0.049512,-0.05402,0.012438,-0.001609,-0.017937,-0.038092,0.039903,0.001103,0.056487,0.001274,0.000567,0.004712,0.000963,-0.000137,0.001784,0.000465,0.000473,0.0,-0.000243,0.00028,-0.000472,-0.000345,0.0,-0.000447,0.000295,0.0,0.00151,0.001764,0.056047,-0.001137,-0.000104,-0.000505,0.001844,0.00906
ST4991,0.041774,0.043408,0.02344,0.006888,0.003319,0.07664,0.1987,-0.001816,0.000836,0.012452,0.012761,0.003273,0.001105,-0.00312,0.000626,-0.000277,0.00025,0.000519,-8.5e-05,0.00075,-0.001157,-0.00038,-0.000126,-0.001033,-0.000126,0.000559,-0.001125,0.000352,0.00369,0.00888,0.0,-0.000235,-0.00067,0.000544,0.002429
ST4992,0.041774,0.043408,0.020964,0.010611,0.001832,0.074818,0.236338,0.021063,0.00334,0.029954,0.002635,0.000929,4.6e-05,0.012737,0.000301,0.000231,0.00031,0.000267,0.0,0.001248,0.000178,7.2e-05,0.0,0.000978,0.001215,-0.000108,2e-05,0.002464,0.002615,0.008202,0.0,-7.3e-05,5.1e-05,0.000848,0.001915
ST4997,0.041774,0.043408,0.021794,0.006975,0.002421,0.077333,0.188069,-0.001363,0.001596,0.015451,0.010291,0.003783,0.000466,-0.00273,-0.001202,0.000746,0.000556,3.7e-05,0.00026,0.001431,-0.001479,0.000345,-0.00036,0.000655,0.000242,0.000381,-0.001162,-0.000283,0.002839,0.008719,0.0,-0.00024,-0.000555,0.000824,0.001796
